surface,ranking,player_name,matches_played,match_record,match_win_pct,service_points_won,service_points_won_in_play,total_aces,ace_pct,double_faults,double_fault_pct,double_fault_per_second_serve,first_serve_in_pct,first_serve_win_pct,second_serve_win_pct,second_serve_win_pct_in_play,service_hold_pct,points_per_service_game,points_lost_per_service_game
clay,32,Alex Michelsen [USA],7,2-5,28.60%,58.60%,58.80%,23,4.50%,18,3.50%,10.70%,67.10%,66.10%,43.20%,48.30%,69.60%,6.5,2.7
clay,33,Sebastian Korda [USA],10,5-5,50.00%,65.40%,64.50%,54,6.90%,19,2.40%,6.30%,61.10%,70.20%,57.90%,61.80%,82.80%,6.4,2.2
clay,34,Brandon Nakashima [USA],12,5-7,41.70%,59.80%,57.30%,69,7.70%,13,1.40%,4.10%,64.30%,67.20%,46.30%,48.20%,71.80%,6.3,2.5
clay,35,Matteo Berrettini [ITA],17,14-3,82.40%,71.60%,70.10%,108,9.90%,22,2.00%,7.10%,71.80%,78.60%,53.90%,58.00%,90.60%,6,1.7
clay,36,Giovanni Mpetshi Perricard [FRA],8,2-6,25.00%,64.80%,64.10%,67,9.60%,30,4.30%,12.30%,65.10%,71.60%,52.00%,59.30%,82.40%,6.5,2.3
clay,37,Nuno Borges [POR],21,13-8,61.90%,62.60%,62.00%,91,6.00%,41,2.70%,8.20%,67.10%,69.60%,48.30%,52.60%,78.50%,6.5,2.4
clay,38,Sebastian Baez [ARG],31,19-12,61.30%,60.20%,60.30%,76,3.10%,54,2.20%,7.90%,72.10%,63.70%,51.30%,55.70%,72.90%,6.6,2.6
clay,39,Hubert Hurkacz [POL],11,7-4,63.60%,66.70%,63.30%,102,12.50%,15,1.80%,5.10%,63.80%,75.90%,50.50%,53.20%,85.50%,6.2,2.1
clay,40,Gabriel Diallo [CAN],10,6-4,60.00%,66.80%,66.20%,59,7.00%,22,2.60%,7.90%,67.10%,71.90%,56.50%,61.30%,83.00%,6,2
clay,41,Alexandre Muller [FRA],23,12-11,52.20%,60.60%,60.90%,66,3.40%,51,2.60%,8.00%,67.10%,66.40%,48.70%,53.00%,74.60%,6.7,2.6
