surface,ranking,player_name,matches_played,return_points_won,return_points_won_in_play,vs_ace_pct,vs_double_fault_pct,vs_first_serve_win_pct,vs_second_serve_win_pct,break_point_conversion_pct,points_per_return_game,points_won_per_return_game,median_opponent_rank,mean_opponent_rank
hard,315,Johannus Monday,34,34.65%,36.41%,10.89%,3.47%,26.49%,47.69%,41.52%,6.32,2.19,322.5,355
hard,314,Jonas Forejtek,7,33.67%,35.51%,8.82%,2.00%,27.57%,46.84%,41.94%,6.24,2.1,235,285.9
hard,113,Jordan Thompson,15,35.97%,36.14%,7.37%,3.91%,28.88%,49.61%,29.00%,6.62,2.38,195,251.8
hard,151,Juan Carlos Prado Angelo,9,39.40%,38.72%,3.45%,3.30%,32.16%,49.44%,59.57%,6.01,2.37,296.5,354.6
hard,51,Juan Manuel Cerundolo,16,36.25%,35.41%,5.95%,4.55%,28.70%,49.00%,36.27%,6.26,2.27,130.5,176.1
hard,341,Juan Pablo Ficovich,15,36.92%,34.81%,5.95%,6.42%,26.66%,51.36%,47.06%,6.19,2.29,349,396.3
hard,228,Juncheng Shang,17,33.90%,36.17%,12.31%,3.43%,26.12%,47.83%,40.48%,6.23,2.11,46,82.5
hard,132,Jurij Rodionov,42,39.95%,40.49%,6.80%,3.72%,31.04%,53.53%,42.57%,6.8,2.72,280,317.1
hard,391,Justin Boulais,25,38.27%,37.79%,5.54%,4.14%,29.77%,52.58%,39.07%,6.54,2.5,320,340.4
hard,190,Justin Engel,28,35.09%,36.42%,10.08%,3.68%,27.20%,48.68%,35.86%,6.59,2.31,175,259.8
hard,259,Kaichi Uchida,37,34.52%,36.94%,12.07%,3.23%,24.62%,49.22%,42.31%,6.21,2.14,263,319.8
hard,68,Kamil Majchrzak,25,35.93%,37.55%,12.28%,4.79%,25.97%,53.25%,35.88%,6.5,2.34,52,67.9
hard,554,Karan Singh,17,31.13%,31.29%,8.91%,3.82%,23.37%,44.02%,26.03%,6.24,1.94,359,399.1
hard,39,Karen Khachanov,23,33.74%,34.44%,7.94%,3.11%,25.45%,46.66%,38.81%,6.46,2.18,76,87.1
hard,518,Karim Bennani,5,35.49%,34.53%,8.33%,5.86%,22.03%,51.70%,30.00%,6.23,2.21,420,449.4
hard,611,Karl Poling,9,37.02%,37.76%,9.25%,4.42%,30.70%,46.98%,32.31%,6.7,2.48,335,481.3
hard,406,Kasidit Samrej,17,35.60%,35.57%,9.94%,5.52%,28.35%,47.05%,34.38%,6.67,2.37,285,322.6
hard,664,Kaylan Bigun,6,33.43%,35.35%,10.26%,2.64%,25.75%,50.00%,17.86%,6.56,2.19,327,309.3
hard,831,Keegan Rice,10,40.05%,39.83%,5.40%,3.95%,34.17%,50.00%,51.43%,6.07,2.43,242.5,368.3
hard,209,Keegan Smith,36,34.59%,34.43%,6.73%,3.78%,27.08%,46.83%,35.38%,6.54,2.26,337,368.8
hard,721,Kei Nishikori,9,35.88%,36.70%,8.12%,3.41%,30.81%,42.86%,45.65%,6.22,2.23,190,208.2
hard,525,Kenta Miyoshi,17,43.72%,43.14%,3.57%,3.74%,36.43%,54.27%,43.84%,6.47,2.83,319,373.5
hard,1340,Khololwam Montsi,5,44.42%,43.50%,5.96%,6.20%,36.40%,56.10%,44.00%,7.07,3.14,584,486.4
hard,508,Khumoyun Sultanov,8,37.40%,38.08%,8.72%,4.26%,31.21%,44.87%,35.56%,6.53,2.44,454.5,501.5
hard,215,Kimmer Coppejans,18,42.10%,42.49%,5.89%,3.68%,34.82%,53.85%,38.46%,6.76,2.85,272.5,303.7
hard,478,Koki Matsuda,11,37.06%,36.67%,4.97%,3.50%,30.74%,48.28%,36.71%,6.56,2.43,481.5,541.9
hard,566,Kokoro Isomura,17,35.08%,36.53%,13.07%,5.25%,24.93%,50.54%,36.67%,6.39,2.24,230,318.8
hard,956,Kriish Tyagi,6,37.02%,38.52%,10.38%,4.06%,31.41%,46.39%,42.50%,6.24,2.31,477,513.3
hard,121,Kyrian Jacquet,26,39.04%,39.12%,7.60%,4.76%,30.15%,53.07%,41.18%,6.45,2.52,152.5,194.2
hard,221,Laslo Djere,8,33.49%,34.11%,10.09%,4.28%,23.84%,49.79%,34.29%,6.88,2.31,147.5,145.6
hard,473,Laurent Lokoli,7,34.58%,37.28%,9.88%,1.58%,28.53%,44.33%,35.90%,6.33,2.19,391,331.4
hard,191,Lautaro Midon,8,44.39%,42.91%,3.14%,4.95%,37.57%,53.46%,50.82%,6.73,2.99,291,382.4
hard,117,Leandro Riedi,21,39.90%,40.09%,6.71%,4.17%,30.97%,54.25%,33.92%,6.97,2.78,175,245.3
hard,12,Learner Tien,44,37.71%,39.27%,8.35%,2.83%,29.46%,51.97%,41.20%,6.35,2.4,46.5,68.4
hard,549,Leo Borg,8,38.09%,38.48%,7.32%,3.94%,28.48%,52.86%,42.00%,6.42,2.45,447,439.5
hard,642,Leo Vithoontien,7,32.91%,34.64%,10.62%,2.97%,26.21%,45.68%,39.39%,6.2,2.04,547,542.7
hard,350,Li Tu,19,35.42%,35.91%,8.29%,3.87%,28.01%,48.76%,35.19%,6.54,2.32,366,464.1
hard,199,Liam Broady,33,42.28%,42.71%,5.71%,3.51%,33.65%,56.64%,40.21%,6.68,2.82,300,324.9
hard,209,Liam Draxl,33,39.71%,40.84%,8.40%,3.88%,31.11%,51.93%,36.84%,6.89,2.74,287,391
hard,298,Lilian Marmousez,5,38.91%,40.71%,12.36%,5.45%,27.98%,56.07%,48.00%,6.25,2.43,323,327
hard,179,Lloyd Harris,29,39.34%,38.97%,3.99%,3.16%,33.17%,49.37%,45.41%,6.53,2.57,243,249.2
hard,481,Lorenzo Carboni,6,39.23%,37.80%,4.42%,4.97%,30.74%,54.20%,37.84%,6.7,2.63,296.5,375.2
hard,198,Lorenzo Giustino,18,39.20%,38.27%,4.21%,4.13%,33.29%,49.47%,43.44%,6.51,2.55,287.5,310.3
hard,15,Lorenzo Musetti,44,37.73%,38.99%,7.84%,2.94%,27.95%,54.20%,42.23%,6.32,2.38,44.5,57.1
hard,88,Lorenzo Sonego,21,34.67%,33.85%,5.31%,3.95%,27.15%,46.85%,34.85%,6.41,2.22,54,92.1
hard,435,Luca Castelnuovo,12,35.14%,35.35%,9.36%,4.78%,26.79%,49.03%,28.38%,6.82,2.4,375.5,372.2
hard,173,Luca Nardi,20,36.69%,38.54%,8.39%,2.24%,29.13%,49.61%,38.35%,6.34,2.33,139.5,154.4
hard,425,Luca Potenza,9,40.71%,43.98%,11.15%,2.91%,33.33%,53.02%,36.11%,6.8,2.77,261,433.8
hard,49,Luca Van Assche,24,39.53%,40.38%,8.02%,4.01%,29.82%,54.68%,49.30%,6.47,2.56,179,185.2
hard,500,Lucas Poullain,19,41.94%,42.07%,4.81%,3.26%,31.17%,58.73%,46.85%,6.29,2.64,297,352
hard,20,Luciano Darderi,22,34.41%,37.39%,12.96%,2.98%,25.74%,49.64%,43.93%,6.07,2.09,88,90
hard,380,Lucio Ratti,5,38.10%,36.22%,6.80%,6.80%,27.92%,53.41%,26.00%,7.11,2.71,457,381
hard,396,Lui Maxted,8,34.26%,34.72%,9.30%,4.24%,25.55%,51.46%,42.50%,6.13,2.1,359,424.4
hard,195,Luka Mikrut,5,38.52%,38.50%,6.46%,4.07%,29.29%,57.25%,35.14%,6.74,2.6,519,605.4
hard,208,Luka Pavlovic,13,35.07%,34.53%,5.67%,3.82%,27.87%,47.62%,38.89%,6.04,2.12,232,298.2
hard,150,Lukas Klein,10,32.01%,33.28%,9.96%,3.05%,25.48%,42.91%,32.61%,6.33,2.03,208,223.7
hard,169,Lukas Neumayer,12,36.40%,38.45%,12.13%,4.24%,29.05%,49.04%,43.84%,6.53,2.38,271.5,295.2
hard,144,Mackenzie McDonald,21,35.94%,37.18%,11.40%,4.77%,24.71%,52.67%,41.82%,6.21,2.23,110,125
hard,518,Mae Malige,13,39.08%,39.38%,6.19%,3.52%,30.91%,50.58%,45.07%,6.54,2.56,274,331.1
hard,231,Maks Kasnikowski,23,38.49%,39.14%,8.27%,4.26%,30.91%,50.89%,46.48%,6.43,2.48,354,423.1
hard,362,Manas Dhamne,16,37.92%,38.51%,7.28%,3.59%,30.60%,49.53%,43.75%,6.22,2.36,373.5,475.2
hard,740,Manish Sureshkumar,7,34.83%,34.17%,9.48%,5.92%,26.67%,49.34%,33.33%,6.3,2.19,328,477
hard,381,Marat Sharipov,20,36.13%,37.29%,8.58%,3.25%,27.42%,49.43%,29.55%,6.78,2.45,239,253.2
hard,366,Marc Polmans,10,32.98%,33.28%,10.32%,4.69%,24.68%,46.48%,38.18%,6.07,2,349.5,387.1
hard,297,Marc-Andrea Huesler,24,33.71%,34.10%,8.51%,3.81%,23.81%,50.22%,29.84%,6.4,2.16,261.5,367.6
hard,91,Marco Trungelliti,5,35.51%,34.45%,8.81%,6.25%,23.50%,51.32%,30.43%,6.9,2.45,217,206.4
hard,45,Marcos Giron,35,36.37%,38.03%,9.97%,3.43%,28.10%,53.11%,41.82%,6.29,2.29,51,92.7
hard,376,Marek Gengel,27,39.51%,40.20%,8.07%,4.27%,30.36%,53.26%,43.50%,6.36,2.51,269,324.8
hard,44,Mariano Navone,18,38.38%,38.42%,5.89%,3.62%,31.37%,49.48%,40.88%,6.44,2.47,57.5,96.7
hard,80,Marin Cilic,26,31.29%,34.11%,13.63%,2.77%,20.12%,49.57%,38.14%,6.18,1.93,46,86.5
hard,159,Mark Lajal,47,37.92%,37.85%,6.07%,3.82%,29.77%,50.03%,39.52%,6.47,2.45,222,268.5
hard,346,Marko Topo,7,33.62%,34.39%,8.03%,3.04%,24.15%,50.30%,36.11%,5.99,2.01,157,173.9
hard,326,Martin Damm,35,33.26%,34.23%,9.28%,3.35%,26.18%,45.28%,34.85%,6.24,2.08,263,287.8
hard,261,Martin Krumich,8,35.86%,36.97%,8.69%,3.33%,28.29%,49.74%,42.86%,6.08,2.18,276,292.4
hard,67,Martin Landaluce,33,37.39%,37.15%,7.55%,4.85%,27.40%,52.84%,40.00%,6.48,2.42,145,174.6
hard,82,Marton Fucsovics,26,37.66%,38.20%,5.97%,2.81%,30.98%,48.49%,33.68%,6.52,2.46,80,117.9
hard,415,Masamichi Imamura,22,39.84%,40.85%,5.91%,2.38%,34.00%,49.25%,43.80%,6.4,2.55,284,340.8
hard,422,Massimo Giunta,6,33.40%,33.11%,5.60%,3.20%,28.24%,41.21%,41.94%,6.33,2.11,367.5,391
hard,257,Matej Dodig,21,33.93%,34.19%,7.34%,3.42%,26.72%,46.32%,33.04%,6.13,2.08,219,250.2
hard,359,Mathys Erhard,12,35.29%,34.88%,6.00%,3.85%,28.64%,48.17%,35.38%,6.5,2.29,330,343.6
hard,298,Mats Rosenkranz,28,39.24%,40.46%,9.12%,4.15%,31.70%,50.89%,46.95%,6.31,2.48,254,306.8
hard,747,Matt Kuhar,5,40.73%,40.74%,6.29%,4.30%,36.84%,47.32%,50.00%,6.43,2.62,490,449.6
hard,34,Matteo Arnaldi,13,33.66%,33.84%,6.61%,3.11%,27.39%,43.07%,34.57%,6.08,2.05,67,72.5
hard,42,Matteo Berrettini,23,32.60%,33.38%,7.73%,2.70%,27.71%,42.69%,37.50%,6.12,2,48,60.7
hard,283,Matteo Martineau,27,34.52%,35.07%,7.36%,3.12%,28.22%,46.63%,37.58%,6.4,2.21,278,276.1
hard,447,Matthew Dellavedova,8,35.38%,35.70%,7.16%,3.48%,26.96%,51.18%,42.86%,6.04,2.14,506.5,488
hard,81,Mattia Bellucci,24,36.18%,36.93%,8.18%,3.60%,27.20%,51.49%,38.17%,6.4,2.32,77,88.8
hard,250,Max Basing,15,40.85%,40.38%,5.63%,4.60%,32.48%,52.60%,36.89%,7.01,2.86,380,388.7
hard,332,Max Hans Rehberg,6,39.34%,39.40%,4.06%,2.54%,33.74%,48.65%,53.12%,6.16,2.42,454.5,599.8
hard,554,Max Wiskandt,11,35.98%,36.10%,6.57%,3.54%,26.25%,52.56%,33.80%,6.44,2.32,283,401.2
hard,317,Maxim Mrva,22,44.67%,43.43%,2.09%,3.79%,39.74%,53.58%,52.78%,6.56,2.93,325.5,340.4
hard,531,Maxim Zhukov,6,35.35%,35.62%,7.91%,3.95%,29.07%,44.77%,31.71%,6.62,2.34,243,282.3
hard,488,Maxime Chazal,6,34.16%,35.55%,10.22%,3.49%,27.49%,45.33%,39.13%,6.37,2.17,567,525.7
hard,572,Maxime Janvier,8,35.74%,35.42%,5.83%,3.68%,28.17%,47.29%,40.00%,6.52,2.33,189,267.6
hard,419,Maximus Jones,28,37.25%,37.62%,6.89%,3.56%,29.48%,49.88%,41.08%,6.56,2.44,357,382.3
hard,416,Mees Rottgering,10,35.62%,36.41%,8.83%,3.81%,28.17%,49.35%,42.86%,5.97,2.13,255.5,311.5
hard,299,Mert Alkaya,23,38.09%,37.13%,5.09%,4.53%,30.48%,49.61%,46.04%,6.39,2.43,508,489.7
hard,794,Micah Braswell,7,36.53%,35.16%,4.18%,4.38%,27.80%,53.01%,36.00%,6.39,2.33,291,291.4
hard,339,Michael Geerts,37,37.10%,38.17%,9.10%,3.89%,29.88%,48.89%,41.33%,6.5,2.41,322,389.1
hard,181,Michael Mmoh,42,40.01%,40.10%,5.63%,3.63%,31.95%,52.36%,45.02%,6.54,2.62,313,432.4
hard,110,Michael Zheng,27,42.35%,41.77%,5.91%,5.24%,33.62%,55.97%,43.89%,6.47,2.74,240,236
hard,265,Michele Ribecai,9,35.62%,36.60%,10.78%,4.69%,25.06%,53.11%,44.90%,6.21,2.21,323,377.7
hard,300,Miguel Damas,5,38.51%,40.68%,8.78%,2.36%,32.97%,47.75%,42.31%,6.17,2.38,268,282.8
hard,473,Miguel Tobon,9,33.65%,33.38%,6.59%,3.71%,25.94%,46.21%,43.48%,6.33,2.13,301,383.8
hard,417,Mika Brunold,12,38.95%,39.22%,3.79%,2.00%,32.85%,50.77%,37.37%,6.55,2.55,286,325.5
hard,281,Mikhail Kukushkin,36,39.37%,40.97%,9.82%,4.11%,28.77%,57.28%,41.39%,6.61,2.6,246,301
hard,670,Millen Hurrion,7,34.19%,32.09%,4.37%,5.17%,23.95%,50.52%,30.56%,6.53,2.23,340,358.7
hard,461,Milos Karol,8,33.18%,32.72%,6.61%,3.90%,26.23%,45.61%,40.91%,6.66,2.21,226.5,288
hard,66,Miomir Kecmanovic,33,37.19%,39.63%,12.97%,4.48%,26.51%,54.60%,37.86%,6.57,2.44,52,90.6
hard,712,Mirza Basic,5,34.54%,32.47%,12.85%,9.24%,21.92%,52.43%,52.38%,5.53,1.91,334,421.4
hard,364,Mitchell Krueger,24,40.27%,40.75%,7.12%,4.09%,33.24%,50.07%,39.89%,6.7,2.7,356.5,352.4
hard,545,Mitsuki Wei Kang Leong,11,36.90%,37.08%,5.47%,2.93%,30.56%,46.23%,37.50%,6.44,2.38,369,407.4
hard,425,Moerani Bouzige,18,31.80%,31.86%,10.60%,4.87%,22.99%,45.93%,33.33%,6.19,1.97,329,319.3
hard,194,Moez Echargui,25,36.71%,36.88%,9.42%,5.24%,27.89%,49.86%,41.38%,6.41,2.35,191,225.8
hard,212,Moise Kouame,16,38.80%,39.45%,6.37%,3.09%,31.88%,50.13%,40.59%,6.4,2.48,172.5,199.9
hard,517,Mukund Sasikumar,12,35.06%,36.07%,8.55%,3.25%,27.09%,49.69%,31.94%,6.55,2.3,378.5,468.6
hard,285,Murphy Cassone,40,36.63%,37.53%,7.73%,3.19%,28.08%,50.44%,46.41%,6.22,2.28,265,325.5
hard,954,Naoya Honda,8,40.60%,40.42%,4.75%,3.51%,36.16%,47.91%,35.59%,6.86,2.78,381.5,434.6
hard,425,Neil Oberleitner,9,34.12%,35.29%,7.66%,2.37%,29.24%,42.23%,34.15%,6.23,2.12,244,322.8
hard,152,Nicolai Budkov Kjaer,38,37.46%,38.87%,8.07%,2.82%,29.37%,52.21%,40.73%,6.44,2.41,137.5,213.9
hard,1086,Nicolas Arseneault,6,34.25%,34.10%,6.21%,3.45%,27.57%,45.40%,44.83%,6.13,2.1,329,375.5
hard,129,Nicolas Mejia,33,36.05%,36.26%,7.33%,3.85%,29.67%,45.82%,40.68%,6.26,2.26,257,278.7
hard,439,Niels Visker,13,30.48%,29.19%,5.86%,4.23%,24.28%,41.64%,21.54%,6.45,1.97,302,419.5
hard,1137,Nikolai Barsukov,5,37.64%,36.93%,8.15%,5.90%,27.40%,52.03%,42.42%,6.59,2.48,275,294.8
hard,494,Nikolay Vylegzhanin,5,39.60%,39.25%,6.38%,4.70%,30.29%,52.85%,46.88%,6.21,2.46,372,514.4
hard,133,Nikoloz Basilashvili,14,34.52%,38.15%,12.66%,1.95%,26.75%,48.07%,32.86%,6.51,2.25,97.5,171.4
hard,146,Nishesh Basavareddy,14,36.48%,37.55%,11.66%,5.30%,25.55%,51.65%,42.31%,6.25,2.28,126.5,170.7
hard,418,Norbert Gombos,12,37.24%,38.05%,6.90%,2.93%,28.50%,52.44%,41.25%,6.5,2.42,278,308.5
hard,5,Novak Djokovic,23,36.52%,38.41%,9.95%,3.14%,28.90%,50.34%,41.76%,6.5,2.37,50,63.5
hard,47,Nuno Borges,35,33.36%,35.54%,11.87%,3.16%,24.26%,47.63%,33.17%,6.33,2.11,69,91.2
hard,337,Ognjen Milic,14,36.58%,37.68%,7.45%,2.75%,27.19%,51.64%,42.17%,6.06,2.22,361.5,459.4
hard,674,Olaf Pieczkowski,6,36.62%,33.98%,3.54%,5.81%,25.97%,51.52%,41.38%,6.6,2.42,510,525.5
hard,400,Oleg Prihodko,8,39.75%,38.37%,3.99%,4.72%,35.12%,46.98%,58.70%,6.19,2.46,420.5,445.5
hard,237,Oliver Crawford,39,37.16%,38.05%,9.44%,4.35%,28.30%,51.53%,43.53%,6.32,2.35,346,399.6
hard,436,Oliver Tarvet,14,38.24%,39.74%,7.55%,2.49%,29.36%,54.13%,36.27%,6.46,2.47,282,319.3
hard,407,Olle Wallin,14,34.08%,34.46%,10.24%,4.81%,26.60%,44.31%,32.88%,6.6,2.25,307.5,319.5
hard,515,Omar Jasika,21,36.19%,36.37%,6.70%,3.54%,27.87%,48.34%,34.92%,6.61,2.39,314,340.3
hard,1215,Orel Kimhi,6,37.60%,37.46%,5.74%,3.66%,31.36%,47.62%,40.48%,6.6,2.48,335.5,436.7
hard,114,Otto Virtanen,26,36.80%,36.89%,6.35%,3.57%,29.22%,48.97%,41.61%,6.39,2.35,206,235.3
hard,486,Ozan Baris,5,42.31%,42.69%,4.95%,3.02%,37.38%,48.73%,31.82%,7.28,3.08,268,425.4
hard,72,Pablo Carreno Busta,19,34.59%,37.41%,14.21%,3.98%,23.92%,50.19%,41.82%,6.1,2.11,72,143.5
hard,127,Pablo Llamas Ruiz,15,41.42%,41.71%,5.78%,3.62%,33.94%,53.64%,40.15%,6.82,2.82,246,374.1
hard,113,Patrick Kypson,31,37.67%,41.00%,13.89%,4.01%,27.33%,53.89%,48.04%,6.38,2.4,229,235.3
hard,408,Patrick Zahraj,18,37.42%,38.57%,8.04%,3.17%,30.36%,49.34%,39.45%,6.45,2.41,297,388.6
hard,600,Paul Inchauspe,11,35.61%,35.35%,6.71%,4.08%,28.54%,48.32%,32.86%,6.62,2.36,309.5,341.6
hard,375,Paul Jubb,16,42.69%,42.60%,5.69%,4.38%,35.48%,54.45%,39.07%,7.03,3,351.5,430.6
hard,243,Pavel Kotov,28,35.78%,36.11%,6.14%,2.94%,29.69%,45.73%,34.27%,6.49,2.32,229,273.2
hard,591,Pavle Marinkov,8,32.20%,37.70%,17.70%,1.88%,23.34%,48.91%,48.57%,5.84,1.88,302,310.9
hard,148,Pedro Martinez,15,38.67%,41.71%,12.21%,3.52%,28.19%,55.56%,35.71%,6.67,2.58,235,266.8
hard,285,Petr Bar Biryukov,34,31.35%,30.73%,7.12%,4.05%,23.69%,44.79%,40.97%,5.83,1.83,318,397.1
hard,331,Petr Brunclik,18,42.45%,42.99%,6.55%,3.99%,36.73%,51.89%,42.57%,7.35,3.12,351,381.6
hard,364,Petr Nesterov,5,39.22%,36.80%,2.70%,5.39%,31.23%,52.26%,30.43%,7.03,2.76,255,254.8
hard,298,Philip Henning,16,43.31%,43.56%,8.13%,5.82%,34.17%,56.56%,43.65%,6.64,2.88,382,527.9
hard,301,Philip Sekulic,38,37.01%,36.96%,8.77%,5.22%,28.06%,50.75%,45.28%,6.39,2.36,288,388.1
hard,232,Pierre-Hugues Herbert,15,36.40%,37.01%,6.99%,3.12%,27.89%,51.26%,36.19%,6.29,2.29,189,269.9
hard,446,Pietro Fellin,6,39.90%,38.59%,3.74%,4.49%,33.06%,50.98%,35.90%,6.91,2.76,395,365.7
hard,222,Pol Martin Tiffon,16,40.79%,42.27%,8.77%,3.86%,32.62%,53.74%,41.80%,6.37,2.6,281,368.3
hard,57,Quentin Halys,27,33.43%,35.02%,10.21%,3.06%,26.63%,44.90%,33.10%,6.4,2.14,63,99.2
hard,471,Quinn Vandecasteele,14,38.08%,37.09%,5.50%,4.81%,30.76%,48.35%,31.00%,6.93,2.64,259,331.4
hard,507,Radu Albot,12,40.66%,40.23%,6.44%,5.05%,33.96%,50.96%,34.48%,6.71,2.73,384,414.4
hard,11,Rafael Jodar,52,41.26%,41.51%,5.84%,3.72%,33.49%,53.50%,44.93%,6.48,2.67,134,179.7
hard,38,Raphael Collignon,37,37.09%,38.01%,7.21%,2.93%,29.01%,51.47%,38.62%,6.45,2.39,94,116.8
hard,345,Raphael Perot,7,37.37%,38.13%,9.86%,4.84%,28.74%,50.43%,46.34%,6.35,2.37,404,415.4
hard,237,Raul Brancaccio,9,38.15%,38.15%,5.93%,3.65%,30.19%,51.64%,35.48%,6.71,2.56,472,386
hard,165,Rei Sakamoto,35,36.79%,36.75%,7.28%,4.30%,28.57%,50.10%,39.17%,6.61,2.43,296,354.7
hard,76,Reilly Opelka,18,24.58%,23.99%,8.76%,3.53%,16.84%,39.07%,27.27%,5.86,1.44,45,48
hard,182,Remy Bertola,21,34.47%,35.50%,8.32%,2.98%,27.66%,46.78%,33.33%,6.41,2.21,194,237.9
hard,327,Renta Tokuda,19,36.46%,37.42%,8.86%,3.76%,27.88%,48.83%,40.19%,6.36,2.32,317,322.9
hard,832,Rigele Te,6,31.16%,31.62%,10.87%,4.35%,20.22%,51.02%,36.00%,6.37,1.98,353.5,458.2
hard,95,Rinky Hijikata,39,37.43%,38.77%,9.97%,4.12%,28.35%,51.65%,45.42%,6.23,2.33,144,197.2
hard,216,Rio Noguchi,49,41.39%,42.14%,6.25%,3.24%,33.20%,53.92%,46.97%,6.35,2.63,308,342.3
hard,476,Robert Strombachs,14,35.45%,36.26%,8.96%,3.82%,26.37%,50.88%,35.63%,6.66,2.36,323.5,414.9
hard,183,Roberto Bautista Agut,11,34.87%,37.59%,14.51%,4.39%,23.44%,50.40%,33.33%,6.59,2.3,60,71.5
hard,176,Roberto Carballes Baena,6,34.56%,35.78%,9.32%,3.30%,25.79%,53.01%,25.64%,6.69,2.31,130,177.8
hard,368,Robin Bertrand,23,39.89%,39.16%,5.75%,4.90%,30.92%,53.41%,42.17%,6.45,2.57,264,293
hard,293,Rodrigo Pacheco Mendez,24,37.45%,36.20%,9.13%,7.14%,26.67%,52.95%,40.52%,6.43,2.41,249,283.8
hard,102,Roman Safiullin,9,36.51%,37.37%,9.81%,4.47%,27.58%,50.00%,33.33%,6.3,2.3,122,112.8
hard,231,Ryan Peniston,18,44.26%,43.34%,3.90%,4.60%,35.60%,56.37%,46.63%,6.82,3.02,317.5,379.7
hard,989,Ryotaro Taguchi,5,29.75%,32.47%,12.34%,1.90%,24.15%,40.37%,21.74%,5.85,1.74,289,304.2
hard,562,Ryuki Matsuda,6,34.54%,34.79%,7.97%,3.86%,27.69%,46.10%,43.75%,6,2.07,524,661.8
hard,653,S D Prajwal Dev,5,28.57%,29.79%,12.50%,3.57%,23.24%,37.80%,23.81%,5.6,1.6,428,465.8
hard,659,Saba Purtseladze,10,30.70%,31.49%,9.06%,3.02%,24.80%,41.31%,30.30%,6.08,1.87,260,339.4
hard,349,Samir Banerjee,11,42.11%,42.05%,5.70%,4.25%,31.69%,58.86%,42.68%,6.92,2.92,333,335.2
hard,289,Sandro Kopp,8,36.73%,37.05%,5.71%,2.86%,31.63%,45.76%,38.30%,6.12,2.25,408.5,468.9
hard,491,Sanhui Shin,16,41.45%,42.26%,8.27%,4.65%,32.76%,53.97%,43.97%,6.56,2.72,431,496.3
hard,313,Sascha Gueymard Wayenburg,24,36.53%,36.61%,7.02%,3.93%,29.43%,48.12%,42.86%,6.42,2.34,211,225.3
hard,48,Sebastian Baez,23,37.73%,39.66%,10.53%,3.73%,28.32%,55.01%,45.26%,6.15,2.32,48,78.4
hard,876,Sebastian Gorzny,7,34.68%,33.89%,4.82%,3.66%,28.86%,42.53%,50.00%,6.18,2.14,241,329.9
hard,36,Sebastian Korda,38,37.84%,39.00%,7.79%,3.09%,30.49%,51.23%,36.30%,6.65,2.52,48,96.8
hard,126,Sebastian Ofner,18,33.33%,33.12%,7.17%,3.87%,26.35%,44.22%,34.31%,6.37,2.12,179.5,203.4
hard,421,Semen Pankin,12,37.96%,37.16%,5.55%,4.55%,31.61%,47.50%,40.24%,6.48,2.46,336,558
hard,305,Sergey Fomin,22,36.14%,36.69%,9.61%,4.71%,28.80%,47.21%,39.55%,6.19,2.24,410.5,415.1
hard,452,Sergio Callejon Hernando,5,41.36%,40.63%,4.71%,4.45%,33.49%,51.18%,44.12%,7.07,2.93,460,442
hard,117,Shintaro Mochizuki,31,40.04%,40.27%,7.09%,4.39%,31.84%,54.07%,41.23%,6.43,2.57,170,178.9
hard,90,Sho Shimabukuro,49,37.94%,38.25%,6.73%,3.67%,31.99%,47.42%,38.67%,6.54,2.48,236,284
hard,537,Shunsuke Mitsui,5,38.66%,38.03%,5.11%,4.15%,32.80%,47.58%,44.00%,6.52,2.52,256,300.6
hard,536,Sidharth Rawat,10,36.54%,35.96%,6.27%,4.43%,29.59%,48.94%,40.00%,6.48,2.37,427.5,492.2
hard,153,Soonwoo Kwon,26,42.25%,42.54%,7.57%,5.10%,35.19%,53.06%,40.67%,7.21,3.05,240.5,304.3
hard,524,Spencer Johnson,9,38.02%,38.01%,6.77%,4.17%,29.59%,50.00%,44.00%,6.19,2.35,206,265.2
hard,124,Stan Wawrinka,26,32.40%,33.25%,8.87%,3.14%,26.27%,43.16%,33.33%,6.09,1.97,81.5,168.3
hard,261,Stefan Dostanic,16,42.87%,41.45%,3.38%,4.81%,35.93%,54.08%,41.30%,6.73,2.89,287,364.2
hard,295,Stefan Kozlov,29,41.52%,41.23%,5.22%,4.16%,34.92%,51.56%,40.59%,6.82,2.83,320,379.3
hard,229,Stefano Napolitano,12,35.62%,38.96%,14.38%,3.70%,27.31%,48.22%,35.16%,6.42,2.29,307.5,410
hard,140,Stefano Travaglia,19,39.97%,40.27%,6.82%,4.11%,29.99%,55.18%,44.20%,6.5,2.6,282,267.7
hard,155,Stefanos Sakellaridis,29,38.55%,37.82%,4.20%,3.72%,32.19%,49.11%,44.62%,6.41,2.47,257,280.9
hard,49,Stefanos Tsitsipas,25,36.01%,35.70%,6.01%,3.83%,27.87%,50.30%,36.84%,6.38,2.3,42,106.1
hard,384,Stuart Parker,6,42.44%,40.90%,2.93%,4.63%,35.08%,53.70%,57.89%,6.41,2.72,259,297.7
hard,235,Sumit Nagal,13,39.22%,39.54%,6.32%,3.59%,31.75%,51.28%,41.57%,6.85,2.69,246,314.5
hard,512,Tai Sach,12,38.17%,37.88%,4.76%,3.36%,31.82%,49.36%,34.52%,6.53,2.49,296.5,317.7
hard,549,Takuya Kumasaka,12,34.99%,34.21%,5.85%,4.23%,25.87%,49.05%,37.25%,6.48,2.27,262.5,329
