surface,ranking,player_name,matches_played,return_points_won,return_points_won_in_play,vs_ace_pct,vs_double_fault_pct,vs_first_serve_win_pct,vs_second_serve_win_pct,break_point_conversion_pct,points_per_return_game,points_won_per_return_game,median_opponent_rank,mean_opponent_rank
grass,90,Sho Shimabukuro,9,33.74%,35.40%,12.82%,4.45%,24.26%,50.18%,38.46%,6.23,2.1,92,194.7
grass,9,Taylor Fritz,14,33.64%,34.42%,10.65%,4.40%,25.58%,50.00%,37.08%,6.23,2.1,37,46
grass,45,Terence Atmane,5,26.24%,26.68%,9.46%,2.84%,18.28%,41.67%,18.52%,5.79,1.52,50,44.4
grass,111,Titouan Droguet,5,32.20%,30.41%,5.08%,4.80%,25.32%,45.45%,47.62%,5.9,1.9,153,163.8
grass,112,Toby Samuel,8,37.15%,36.30%,6.17%,4.85%,28.48%,53.62%,38.89%,6.61,2.46,93,91.4
grass,24,Tommy Paul,8,39.57%,40.06%,5.29%,2.71%,31.65%,52.65%,43.10%,6.86,2.72,62.5,78.6
grass,187,Tristan Schoolkate,5,35.01%,33.67%,6.78%,5.47%,26.12%,47.62%,25.58%,6.82,2.39,154,220
grass,30,Ugo Humbert,12,35.18%,36.27%,7.38%,2.50%,27.29%,50.81%,44.83%,6.31,2.22,67,83.8
grass,71,Vit Kopriva,5,30.97%,34.15%,15.91%,3.41%,21.10%,51.30%,52.38%,5.42,1.68,63,60.8
grass,55,Yannick Hanfmann,8,32.64%,35.56%,13.53%,2.93%,26.53%,47.17%,20.37%,6.7,2.19,47,46.1
grass,239,Yi Zhou,6,41.65%,42.55%,7.53%,4.00%,37.30%,47.98%,42.31%,6.44,2.68,428,508.7
grass,106,Yibing Wu,5,36.73%,38.63%,10.19%,3.32%,29.04%,50.67%,33.33%,6.3,2.31,197,289.8
grass,118,Yunchaokete Bu,11,34.60%,37.56%,12.80%,2.95%,26.82%,50.87%,53.49%,5.88,2.03,154,171
grass,156,Zhizhen Zhang,8,32.88%,35.52%,13.15%,3.15%,23.11%,49.81%,30.43%,6.82,2.24,112,111.1
grass,34,Zizou Bergs,10,39.79%,39.72%,5.74%,3.89%,32.93%,52.50%,45.16%,6.63,2.64,78.5,86.5
hard,267,Abdullah Shelbayh,32,40.07%,39.92%,6.21%,4.38%,31.83%,52.08%,49.77%,6.25,2.5,242.5,322.2
hard,98,Adam Walton,49,36.51%,38.04%,10.57%,4.02%,28.05%,49.40%,42.23%,6.41,2.34,122,207.2
hard,777,Adhithya Ganesan,6,33.91%,33.33%,6.96%,4.35%,26.30%,46.78%,41.94%,6.13,2.08,299.5,262.5
hard,968,Aditya Vishal Balsekar,5,26.88%,26.34%,7.91%,3.56%,22.03%,38.16%,33.33%,5.62,1.51,391,459.2
hard,368,Adria Soriano Barrera,7,29.00%,27.96%,5.39%,3.53%,22.65%,39.90%,20.00%,6.33,1.84,227,236.7
hard,435,Adrian Boitan,5,33.33%,34.55%,11.28%,4.10%,20.63%,56.52%,25.81%,6.19,2.06,346.5,353
hard,52,Adrian Mannarino,30,35.30%,37.64%,12.05%,3.52%,27.04%,51.24%,42.62%,6.19,2.18,62,91.8
hard,659,Aidan Kim,5,35.64%,32.81%,5.54%,6.92%,25.27%,53.27%,31.03%,6.15,2.19,277,350.2
hard,625,Aidan Mayo,12,34.48%,32.94%,4.69%,4.60%,29.04%,41.83%,24.14%,6.97,2.4,231.5,245.5
hard,291,Akira Santillan,23,38.31%,38.48%,6.18%,3.59%,29.43%,52.03%,43.45%,6.17,2.36,265,404.2
hard,444,Alafia Ayeni,11,37.71%,36.75%,4.22%,3.98%,32.50%,46.45%,30.23%,6.8,2.57,259,378.8
hard,554,Alan Magadan,7,38.72%,39.96%,9.77%,4.44%,30.03%,50.42%,30.51%,6.95,2.69,218,212.4
hard,264,Alastair Gray,27,36.47%,36.61%,7.91%,4.34%,29.19%,49.01%,35.56%,6.56,2.39,343,377.8
hard,618,Alberto Barroso Campos,8,40.44%,40.24%,5.46%,4.01%,33.01%,49.79%,44.64%,6.38,2.58,450.5,456.5
hard,20,Alejandro Davidovich Fokina,29,34.80%,36.84%,11.44%,3.43%,25.64%,51.84%,40.82%,6.28,2.19,46,54.9
hard,236,Alejandro Moro Canas,23,38.22%,38.59%,4.68%,2.34%,31.83%,49.15%,36.08%,6.59,2.52,261,365.9
hard,29,Alejandro Tabilo,32,33.14%,35.49%,12.87%,3.43%,24.41%,48.16%,38.89%,6.12,2.03,44,67
hard,450,Alejo Sanchez Quilez,7,39.53%,40.23%,5.56%,2.56%,31.89%,53.29%,48.89%,6.32,2.5,341,354.3
hard,96,Aleksandar Kovacevic,30,29.68%,32.71%,15.17%,2.87%,22.27%,42.43%,30.60%,6.07,1.8,71.5,123.1
hard,101,Aleksandar Vukic,30,33.61%,34.08%,10.77%,4.85%,24.40%,47.82%,30.77%,6.4,2.15,81.5,118.4
hard,158,Alex Bolt,32,37.52%,38.87%,7.74%,2.70%,31.57%,48.56%,39.90%,6.42,2.41,331,349
hard,459,Alex Hernandez,11,38.38%,40.77%,13.07%,4.95%,28.35%,55.15%,38.81%,6.27,2.41,535,483.4
hard,361,Alex Martinez,10,38.46%,38.83%,6.77%,3.69%,31.62%,48.66%,51.85%,6.07,2.34,401,525.4
hard,41,Alex Michelsen,41,37.27%,37.93%,9.10%,4.50%,26.57%,53.89%,39.36%,6.46,2.41,47,90.5
hard,75,Alex Molcan,13,39.49%,40.89%,7.83%,3.04%,29.59%,54.57%,40.45%,6.9,2.73,200,250.8
hard,502,Alex Rybakov,22,37.75%,36.15%,3.77%,4.64%,33.26%,45.36%,34.59%,6.77,2.56,363,454.1
hard,8,Alex de Minaur,47,37.77%,38.78%,7.89%,3.34%,28.44%,52.64%,39.46%,6.6,2.49,42,64.3
hard,571,Alexander Binda,11,35.68%,37.67%,9.00%,2.25%,31.73%,42.23%,47.06%,6.12,2.18,350,380.6
hard,32,Alexander Blockx,32,35.69%,35.18%,5.43%,3.73%,30.01%,45.35%,34.17%,6.56,2.34,135.5,172.6
hard,11,Alexander Bublik,34,34.04%,35.70%,10.81%,3.42%,26.20%,47.03%,37.16%,6.3,2.14,62,74.4
