surface,ranking,player_name,matches_played,dominance_ratio,points,total_points_won_pct,tiebreaks_played,tiebreak_record,tiebreak_win_pct,tiebreaks_per_set,sets_played,set_record,set_win_pct,games_played,game_record,game_win_pct,time_per_match,minutes_per_set,seconds_per_point
clay,334,Hady Habib,14,0.935,2459,50.02%,10,5-5,50.00%,0.278,36,17-19,47.22%,370,187-183,50.54%,,,
clay,73,Hamad Medjedovic,16,1.084,2595,51.41%,5,4-1,80.00%,0.122,41,27-14,65.85%,406,218-188,53.69%,,,
clay,255,Harold Mayot,7,0.897,962,46.67%,1,1-0,100.00%,0.059,17,6-11,35.29%,150,62-88,41.33%,,,
clay,214,Henri Squire,46,1.049,6778,50.34%,17,11-6,64.71%,0.159,107,60-47,56.07%,1046,541-505,51.72%,,,
clay,123,Henrique Rocha,37,1.111,5386,51.91%,16,11-5,68.75%,0.188,85,54-31,63.53%,847,457-390,53.96%,,,
clay,408,Henry Bernet,11,0.928,1722,48.26%,4,1-3,25.00%,0.143,28,11-17,39.29%,272,126-146,46.32%,,,
clay,409,Hernan Casanova,30,1.139,3759,50.89%,5,3-2,60.00%,0.077,65,37-28,56.92%,586,309-277,52.73%,,,
clay,18,Hubert Hurkacz,13,1.240,2307,52.10%,10,7-3,70.00%,0.278,36,21-15,58.33%,369,195-174,52.85%,,,
clay,143,Hugo Dellien,44,1.078,6229,51.42%,12,8-4,66.67%,0.118,102,62-40,60.78%,969,521-448,53.77%,,,
clay,109,Hugo Gaston,20,1.002,3041,50.44%,6,3-3,50.00%,0.120,50,27-23,54.00%,459,237-222,51.63%,,,
clay,221,Hugo Grenier,6,0.884,814,49.14%,1,1-0,100.00%,0.071,14,7-7,50.00%,123,58-65,47.15%,,,
clay,268,Hynek Barton,38,1.076,5895,50.64%,12,6-6,50.00%,0.129,93,51-42,54.84%,931,478-453,51.34%,,,
clay,33,Ignacio Buse,48,1.087,7455,51.58%,17,9-8,52.94%,0.143,119,72-47,60.50%,1162,629-533,54.13%,,,
clay,693,Ignacio Monzon,8,0.768,993,46.83%,1,1-0,100.00%,0.062,16,4-12,25.00%,153,65-88,42.48%,,,
clay,318,Igor Marcondes,18,1.074,2862,49.90%,9,4-5,44.44%,0.200,45,22-23,48.89%,437,215-222,49.20%,,,
clay,304,Ilia Simakin,11,0.955,1721,48.23%,3,1-2,33.33%,0.111,27,8-19,29.63%,271,124-147,45.76%,,,
clay,272,Inaki Montes-De La Torre,22,1.065,3036,49.60%,4,3-1,75.00%,0.075,53,27-26,50.94%,472,232-240,49.15%,,,
clay,351,Ioannis Xilas,7,0.823,943,45.71%,3,3-0,100.00%,0.200,15,5-10,33.33%,143,58-85,40.56%,,,
clay,263,Ivan Gakhov,20,0.846,2862,48.01%,2,0-2,0.00%,0.043,47,17-30,36.17%,428,192-236,44.86%,,,
clay,584,Ivan Ivanov,7,0.516,849,41.70%,2,1-1,50.00%,0.133,15,1-14,6.67%,139,46-93,33.09%,,,
clay,369,Ivan Marrero Curbelo,9,1.136,1022,51.08%,1,1-0,100.00%,0.050,20,11-9,55.00%,163,83-80,50.92%,,,
clay,389,Jack Kennedy,9,1.118,1394,51.79%,3,2-1,66.67%,0.130,23,15-8,65.22%,218,120-98,55.05%,,,
