surface,ranking,player_name,matches_played,break_point_conversion_pct,break_points_converted,break_point_chances,break_points_per_game,break_points_per_set,break_points_per_match,breaks_per_set,breaks_per_match,break_point_save_pct,break_points_saved,break_points_faced,break_points_faced_per_game,break_points_faced_per_set,break_points_faced_per_match,times_broken_per_set,times_broken_per_match
all,348,Antoine Escoffier,7,48.15%,26,54,0.69,3.38,7.71,1.62,3.71,55.10%,27,49,0.64,3.06,7,1.38,3.14
all,352,Antoine Ghibaudo,35,39.01%,71,182,0.5,2.33,5.2,0.91,2.03,64.84%,142,219,0.58,2.81,6.26,0.99,2.2
all,373,Anton Matusevich,8,37.84%,14,37,0.44,2.06,4.62,0.78,1.75,60.00%,36,60,0.67,3.33,7.5,1.33,3
all,911,Aoran Wang,5,50.00%,7,14,0.23,1.17,2.8,0.58,1.4,56.52%,13,23,0.4,1.92,4.6,0.83,2
all,808,Arda Azkara,12,39.66%,23,58,0.43,2.23,4.83,0.88,1.92,63.64%,49,77,0.59,2.96,6.42,1.08,2.33
all,492,Aristotelis Thanos,8,44.00%,22,50,0.59,2.78,6.25,1.22,2.75,50.77%,33,65,0.78,3.61,8.12,1.78,4
all,769,Arklon Huertas Del Pino Cordova,9,37.14%,26,70,0.66,3.33,7.78,1.24,2.89,61.90%,39,63,0.62,3,7,1.14,2.67
all,439,Arthur Bouquier,14,31.96%,31,97,0.53,2.62,6.93,0.84,2.21,69.17%,83,120,0.66,3.24,8.57,1,2.64
all,73,Arthur Cazaux,21,38.58%,49,127,0.51,2.49,6.05,0.96,2.33,67.83%,78,115,0.47,2.25,5.48,0.73,1.76
all,114,Arthur Fery,45,40.11%,144,359,0.63,3.07,7.98,1.23,3.2,60.55%,155,256,0.45,2.19,5.69,0.86,2.24
all,24,Arthur Fils,35,38.50%,82,213,0.56,2.66,6.09,1.02,2.34,67.28%,109,162,0.42,2.02,4.63,0.66,1.51
all,127,Arthur Gea,51,43.80%,159,363,0.63,3,7.12,1.31,3.12,63.58%,206,324,0.55,2.68,6.35,0.98,2.31
all,29,Arthur Rinderknech,53,34.82%,109,313,0.44,2.22,5.91,0.77,2.06,71.48%,218,305,0.43,2.16,5.75,0.62,1.64
all,417,Arthur Weber,8,34.69%,17,49,0.59,2.72,6.12,0.94,2.12,54.10%,33,61,0.73,3.39,7.62,1.56,3.5
