surface,ranking,player_name,matches_played,break_point_conversion_pct,break_points_converted,break_point_chances,break_points_per_game,break_points_per_set,break_points_per_match,breaks_per_set,breaks_per_match,break_point_save_pct,break_points_saved,break_points_faced,break_points_faced_per_game,break_points_faced_per_set,break_points_faced_per_match,times_broken_per_set,times_broken_per_match
all,221,Laslo Djere,33,35.29%,84,238,0.65,3.22,7.21,1.14,2.55,54.84%,102,186,0.51,2.51,5.64,1.14,2.55
all,473,Laurent Lokoli,18,39.20%,49,125,0.63,2.91,6.94,1.14,2.72,60.90%,95,156,0.79,3.63,8.67,1.42,3.39
all,213,Lautaro Midon,55,45.95%,210,457,0.71,3.34,8.31,1.53,3.82,55.13%,258,468,0.73,3.42,8.51,1.53,3.82
all,117,Leandro Riedi,25,35.44%,73,206,0.78,3.49,8.24,1.24,2.92,64.19%,95,148,0.55,2.51,5.92,0.9,2.12
all,19,Learner Tien,57,41.51%,181,436,0.61,2.78,7.65,1.15,3.18,59.35%,238,401,0.55,2.55,7.04,1.04,2.86
all,549,Leo Borg,8,42.00%,21,50,0.6,2.63,6.25,1.11,2.62,47.37%,27,57,0.7,3,7.12,1.58,3.75
all,646,Leo Raquillet,7,44.74%,17,38,0.47,2.24,5.43,1,2.43,49.15%,29,59,0.74,3.47,8.43,1.76,4.29
all,651,Leo Vithoontien,7,39.39%,13,33,0.43,2.06,4.71,0.81,1.86,62.50%,25,40,0.51,2.5,5.71,0.94,2.14
all,350,Li Tu,21,34.48%,40,116,0.47,2.42,5.52,0.83,1.9,59.82%,67,112,0.46,2.33,5.33,0.94,2.14
all,202,Liam Broady,41,41.33%,143,346,0.79,3.6,8.44,1.49,3.49,58.82%,140,238,0.54,2.48,5.8,1.02,2.39
all,246,Liam Draxl,39,36.88%,111,301,0.73,3.38,7.72,1.25,2.85,56.09%,129,230,0.56,2.58,5.9,1.13,2.59
all,298,Lilian Marmousez,12,51.95%,40,77,0.55,2.57,6.42,1.33,3.33,50.00%,39,78,0.56,2.6,6.5,1.3,3.25
all,186,Lloyd Harris,24,42.01%,71,169,0.62,2.96,7.04,1.25,2.96,60.83%,73,120,0.45,2.11,5,0.82,1.96
all,593,Lorenzo Angelini,6,54.35%,25,46,0.75,3.29,7.67,1.79,4.17,52.38%,33,63,1.05,4.5,10.5,2.14,5
all,477,Lorenzo Carboni,17,36.97%,44,119,0.68,3.05,7,1.13,2.59,46.34%,57,123,0.72,3.15,7.24,1.69,3.88
all,201,Lorenzo Giustino,52,40.63%,154,379,0.67,3.13,7.29,1.27,2.96,61.07%,229,375,0.65,3.1,7.21,1.21,2.81
all,454,Lorenzo Joaquin Rodriguez,21,35.46%,50,141,0.67,3.07,6.71,1.09,2.38,57.36%,74,129,0.61,2.8,6.14,1.2,2.62
all,13,Lorenzo Musetti,50,40.87%,132,323,0.57,2.69,6.46,1.1,2.64,64.34%,166,258,0.46,2.15,5.16,0.77,1.84
all,88,Lorenzo Sonego,37,34.62%,81,234,0.47,2.29,6.32,0.79,2.19,64.00%,160,250,0.5,2.45,6.76,0.88,2.43
all,539,Louis Wessels,7,37.50%,12,32,0.46,1.88,4.57,0.71,1.71,63.46%,33,52,0.75,3.06,7.43,1.12,2.71
all,435,Luca Castelnuovo,15,29.35%,27,92,0.51,2.56,6.13,0.75,1.8,61.17%,63,103,0.58,2.86,6.87,1.11,2.67
all,173,Luca Nardi,29,38.60%,83,215,0.64,3.07,7.41,1.19,2.86,64.76%,147,227,0.68,3.24,7.83,1.14,2.76
all,425,Luca Potenza,13,35.05%,34,97,0.73,3.73,7.46,1.31,2.62,51.19%,43,84,0.63,3.23,6.46,1.58,3.15
all,589,Luca Staeheli,5,44.44%,16,36,0.64,3,7.2,1.33,3.2,60.00%,27,45,0.8,3.75,9,1.5,3.6
all,129,Luca Van Assche,52,49.88%,206,413,0.68,3.13,7.94,1.56,3.96,62.92%,246,391,0.64,2.96,7.52,1.1,2.79
all,813,Lucas Andrade Da Silva,6,25.00%,10,40,0.56,2.86,6.67,0.71,1.67,50.00%,13,26,0.38,1.86,4.33,0.93,2.17
all,439,Lucas Poullain,15,36.46%,35,96,0.63,3,6.4,1.09,2.33,51.67%,62,120,0.78,3.75,8,1.81,3.87
all,22,Luciano Darderi,63,42.33%,185,437,0.59,2.82,6.94,1.19,2.94,60.05%,239,398,0.54,2.57,6.32,1.03,2.52
all,311,Luciano Emanuel Ambrogi,38,48.15%,117,243,0.58,2.67,6.39,1.29,3.08,56.13%,151,269,0.65,2.96,7.08,1.3,3.11
all,380,Lucio Ratti,14,37.14%,39,105,0.71,3.18,7.5,1.18,2.79,57.45%,54,94,0.64,2.85,6.71,1.21,2.86
all,405,Lui Maxted,6,40.74%,11,27,0.39,1.8,4.5,0.73,1.83,67.35%,33,49,0.73,3.27,8.17,1.07,2.67
all,195,Luka Mikrut,38,44.37%,130,293,0.68,3.12,7.71,1.38,3.42,63.41%,156,246,0.56,2.62,6.47,0.96,2.37
all,208,Luka Pavlovic,42,38.43%,83,216,0.46,2.14,5.14,0.82,1.98,62.98%,182,289,0.62,2.86,6.88,1.06,2.55
all,150,Lukas Klein,14,34.29%,24,70,0.44,2.19,5,0.75,1.71,59.70%,40,67,0.42,2.09,4.79,0.84,1.93
all,173,Lukas Neumayer,50,42.13%,166,394,0.73,3.43,7.88,1.44,3.32,60.96%,203,333,0.62,2.9,6.66,1.13,2.6
all,597,Lukas Pokorny,6,41.30%,19,46,0.68,3.07,7.67,1.27,3.17,62.75%,32,51,0.74,3.4,8.5,1.27,3.17
all,145,Mackenzie McDonald,34,40.11%,73,182,0.46,2.27,5.35,0.91,2.15,57.22%,111,194,0.51,2.42,5.71,1.04,2.44
all,518,Mae Malige,13,45.07%,32,71,0.56,2.54,5.46,1.14,2.46,58.95%,56,95,0.73,3.39,7.31,1.39,3
all,233,Maks Kasnikowski,41,42.54%,114,268,0.58,2.71,6.54,1.15,2.78,57.45%,135,235,0.52,2.37,5.73,1.01,2.44
all,372,Manas Dhamne,28,42.66%,93,218,0.66,3.25,7.79,1.39,3.32,56.52%,117,207,0.63,3.09,7.39,1.34,3.21
all,737,Manish Sureshkumar,7,33.33%,11,33,0.49,2.2,4.71,0.73,1.57,56.25%,27,48,0.74,3.2,6.86,1.4,3
all,381,Marat Sharipov,29,36.36%,72,198,0.62,3,6.83,1.09,2.48,58.76%,104,177,0.54,2.68,6.1,1.11,2.52
all,366,Marc Polmans,14,36.71%,29,79,0.49,2.32,5.64,0.85,2.07,61.90%,65,105,0.64,3.09,7.5,1.18,2.86
all,297,Marc-Andrea Huesler,32,29.94%,53,177,0.48,2.36,5.53,0.71,1.66,66.48%,117,176,0.47,2.35,5.5,0.79,1.84
all,174,Marco Cecchinato,68,38.60%,188,487,0.65,3.06,7.16,1.18,2.76,63.21%,280,443,0.57,2.79,6.51,1.03,2.4
all,95,Marco Trungelliti,57,37.72%,195,517,0.77,3.75,9.07,1.41,3.42,62.43%,236,378,0.56,2.74,6.63,1.03,2.49
all,45,Marcos Giron,50,39.87%,126,316,0.48,2.41,6.32,0.96,2.52,63.69%,200,314,0.48,2.4,6.28,0.87,2.28
all,336,Marek Gengel,28,42.42%,84,198,0.64,2.96,7.07,1.25,3,56.19%,109,194,0.63,2.9,6.93,1.27,3.04
all,624,Mariano Kestelboim,9,60.71%,17,28,0.33,1.47,3.11,0.89,1.89,48.61%,35,72,0.87,3.79,8,1.95,4.11
all,46,Mariano Navone,61,43.32%,243,561,0.78,3.72,9.2,1.61,3.98,56.00%,238,425,0.59,2.81,6.97,1.24,3.07
all,182,Marin Cilic,39,39.02%,64,164,0.36,1.82,4.21,0.71,1.64,60.95%,128,210,0.46,2.33,5.38,0.91,2.1
all,189,Mark Lajal,60,40.09%,170,424,0.58,2.85,7.07,1.14,2.83,63.85%,249,390,0.53,2.62,6.5,0.95,2.35
all,348,Marko Topo,28,39.52%,66,167,0.52,2.46,5.96,0.97,2.36,58.91%,119,202,0.64,2.97,7.21,1.22,2.96
all,326,Martin Damm,49,33.85%,88,260,0.43,2.2,5.31,0.75,1.8,67.13%,145,216,0.36,1.83,4.41,0.6,1.45
all,261,Martin Krumich,38,41.05%,133,324,0.72,3.48,8.53,1.43,3.5,52.81%,141,267,0.6,2.87,7.03,1.35,3.32
all,143,Martin Landaluce,56,39.95%,149,373,0.55,2.59,6.66,1.03,2.66,64.13%,236,368,0.56,2.56,6.57,0.92,2.36
all,100,Marton Fucsovics,40,36.40%,103,283,0.62,3.01,7.08,1.1,2.58,59.75%,141,236,0.53,2.51,5.9,1.01,2.38
all,372,Marvin Moeller,16,40.94%,52,127,0.72,3.34,7.94,1.37,3.25,55.66%,59,106,0.6,2.79,6.62,1.24,2.94
all,418,Masamichi Imamura,19,44.72%,55,123,0.65,3,6.47,1.34,2.89,48.44%,62,128,0.68,3.12,6.74,1.61,3.47
all,425,Massimo Giunta,8,38.46%,15,39,0.38,1.95,4.88,0.75,1.88,72.88%,43,59,0.57,2.95,7.38,0.8,2
all,254,Matej Dodig,49,38.91%,121,311,0.56,2.64,6.35,1.03,2.47,60.25%,191,317,0.57,2.69,6.47,1.07,2.57
all,548,Mateus Alves,13,34.29%,24,70,0.52,2.33,5.38,0.8,1.85,55.21%,53,96,0.72,3.2,7.38,1.43,3.31
all,297,Matheus Pucinelli De Almeida,39,50.90%,170,334,0.79,3.59,8.56,1.83,4.36,57.14%,172,301,0.7,3.24,7.72,1.39,3.31
all,377,Mathys Erhard,38,40.45%,89,220,0.55,2.65,5.79,1.07,2.34,58.97%,138,234,0.59,2.82,6.16,1.16,2.53
all,296,Matias Soto,44,44.44%,124,279,0.6,2.76,6.34,1.23,2.82,59.74%,187,313,0.67,3.1,7.11,1.25,2.86
all,298,Mats Rosenkranz,33,48.66%,91,187,0.56,2.63,5.67,1.28,2.76,66.12%,121,183,0.55,2.58,5.55,0.87,1.88
all,748,Matt Kuhar,5,50.00%,13,26,0.55,2.36,5.2,1.18,2.6,47.37%,18,38,0.79,3.45,7.6,1.82,4
all,35,Matteo Arnaldi,31,37.16%,97,261,0.6,2.93,8.42,1.09,3.13,59.83%,143,239,0.55,2.69,7.71,1.08,3.1
all,35,Matteo Berrettini,46,40.24%,99,246,0.43,2.16,5.35,0.87,2.15,65.78%,148,225,0.39,1.97,4.89,0.68,1.67
all,280,Matteo Martineau,42,39.82%,88,221,0.47,2.26,5.26,0.9,2.1,62.98%,182,289,0.61,2.95,6.88,1.09,2.55
all,448,Matthew Dellavedova,8,42.86%,18,42,0.52,2.21,5.25,0.95,2.25,45.16%,28,62,0.78,3.26,7.75,1.79,4.25
all,499,Matthew William Donald,5,45.71%,16,35,0.66,3.18,7,1.45,3.2,47.22%,17,36,0.72,3.27,7.2,1.73,3.8
all,101,Mattia Bellucci,49,41.83%,110,263,0.49,2.37,5.37,0.99,2.24,62.46%,183,293,0.55,2.64,5.98,0.99,2.24
all,700,Matyas Cerny,7,35.09%,20,57,0.72,3.17,8.14,1.11,2.86,38.46%,15,39,0.51,2.17,5.57,1.33,3.43
all,704,Matyas Fuele,5,42.11%,16,38,0.63,2.92,7.6,1.23,3.2,53.66%,22,41,0.71,3.15,8.2,1.46,3.8
all,181,Max Alcala Gurri,32,46.08%,141,306,0.92,4.19,9.56,1.93,4.41,52.02%,103,198,0.61,2.71,6.19,1.3,2.97
all,257,Max Basing,16,33.58%,46,137,0.74,3.34,8.56,1.12,2.88,59.18%,87,147,0.78,3.59,9.19,1.46,3.75
all,1378,Max Dahlin,5,25.00%,9,36,0.49,2.57,7.2,0.64,1.8,54.17%,13,24,0.33,1.71,4.8,0.79,2.2
all,339,Max Hans Rehberg,23,44.68%,63,141,0.53,2.56,6.13,1.15,2.74,71.74%,99,138,0.53,2.51,6,0.71,1.7
all,241,Max Houkes,27,43.78%,81,185,0.63,2.94,6.85,1.29,3,59.63%,130,218,0.75,3.46,8.07,1.4,3.26
all,310,Max Schoenhaus,19,40.00%,50,125,0.57,2.72,6.58,1.09,2.63,56.80%,71,125,0.55,2.72,6.58,1.17,2.84
all,554,Max Wiskandt,20,34.46%,51,148,0.69,3.15,7.4,1.09,2.55,46.32%,63,136,0.61,2.89,6.8,1.55,3.65
all,304,Maxim Mrva,51,48.79%,202,414,0.71,3.39,8.12,1.66,3.96,50.12%,214,427,0.74,3.5,8.37,1.75,4.18
all,211,Maxim Zhukov,5,31.71%,13,41,0.72,3.42,8.2,1.08,2.6,59.62%,31,52,0.93,4.33,10.4,1.75,4.2
all,488,Maxime Chazal,11,36.84%,21,57,0.47,2.28,5.18,0.84,1.91,62.03%,49,79,0.68,3.16,7.18,1.2,2.73
all,572,Maxime Janvier,13,36.62%,26,71,0.49,2.37,5.46,0.87,2,60.58%,63,104,0.71,3.47,8,1.37,3.15
all,832,Maximilian Neuchrist,7,22.22%,4,18,0.21,1.06,2.57,0.24,0.57,60.47%,26,43,0.53,2.53,6.14,1,2.43
all,625,Maximo Zeitune,11,39.29%,22,56,0.46,2.15,5.09,0.85,2,55.43%,51,92,0.77,3.54,8.36,1.58,3.73
all,419,Maximus Jones,33,42.15%,94,223,0.57,2.69,6.76,1.13,2.85,62.18%,171,275,0.69,3.31,8.33,1.25,3.15
all,542,Maxwell Mckennon,6,17.24%,5,29,0.55,2.42,4.83,0.42,0.83,58.54%,24,41,0.8,3.42,6.83,1.42,2.83
all,471,Mees Rottgering,11,48.08%,25,52,0.46,2,4.73,0.96,2.27,58.54%,48,82,0.73,3.15,7.45,1.31,3.09
all,298,Mert Alkaya,25,42.51%,71,167,0.62,2.83,6.68,1.2,2.84,59.86%,88,147,0.52,2.49,5.88,1,2.36
all,794,Micah Braswell,7,36.00%,18,50,0.67,2.94,7.14,1.06,2.57,44.19%,19,43,0.59,2.53,6.14,1.41,3.43
all,690,Michael Bassem Sobhy,5,35.71%,10,28,0.47,2.33,5.6,0.83,2,58.33%,21,36,0.62,3,7.2,1.25,3
all,342,Michael Geerts,38,39.82%,88,221,0.53,2.54,5.82,1.01,2.32,62.83%,142,226,0.55,2.6,5.95,0.97,2.21
all,187,Michael Mmoh,44,44.63%,133,298,0.63,3.04,6.77,1.36,3.02,60.23%,159,264,0.55,2.69,6,1.07,2.39
all,744,Michael Vrbensky,6,35.29%,12,34,0.54,2.43,5.67,0.86,2,55.56%,25,45,0.73,3.21,7.5,1.43,3.33
all,754,Michael Zheng,31,42.63%,107,251,0.66,3.18,8.1,1.35,3.45,63.68%,135,212,0.56,2.68,6.84,0.97,2.48
all,267,Michele Ribecai,29,48.02%,97,202,0.62,2.85,6.97,1.37,3.34,59.92%,142,237,0.73,3.34,8.17,1.34,3.28
all,286,Miguel Damas,44,43.49%,147,338,0.73,3.35,7.68,1.46,3.34,53.12%,196,369,0.78,3.65,8.39,1.71,3.93
all,473,Miguel Tobon,30,41.14%,72,175,0.51,2.36,5.83,0.97,2.4,56.72%,135,238,0.7,3.22,7.93,1.39,3.43
all,415,Mika Brunold,27,41.18%,84,204,0.65,3.19,7.56,1.31,3.11,56.18%,100,178,0.58,2.78,6.59,1.22,2.89
all,434,Mika Petkovic,8,38.30%,18,47,0.51,2.47,5.88,0.95,2.25,54.93%,39,71,0.77,3.74,8.88,1.68,4
all,281,Mikhail Kukushkin,40,40.00%,108,270,0.61,2.93,6.75,1.17,2.7,57.35%,121,211,0.49,2.29,5.28,0.98,2.25
all,352,Mili Poljicak,32,36.82%,95,258,0.74,3.39,8.06,1.25,2.97,57.35%,117,204,0.58,2.68,6.38,1.14,2.72
all,714,Millen Hurrion,5,25.00%,5,20,0.38,1.82,4,0.45,1,40.00%,12,30,0.57,2.73,6,1.64,3.6
all,461,Milos Karol,18,40.52%,47,116,0.51,2.52,6.44,1.02,2.61,64.55%,71,110,0.47,2.39,6.11,0.85,2.17
all,55,Miomir Kecmanovic,54,39.89%,148,371,0.54,2.63,6.87,1.05,2.74,62.23%,234,376,0.55,2.67,6.96,1.01,2.63
all,497,Mirza Basic,5,46.67%,14,30,0.57,2.73,6,1.27,2.8,50.00%,15,30,0.6,2.73,6,1.36,3
all,364,Mitchell Krueger,31,40.33%,98,243,0.68,3.28,7.84,1.32,3.16,59.14%,110,186,0.54,2.51,6,1.03,2.45
all,545,Mitsuki Wei Kang Leong,12,37.84%,28,74,0.56,2.64,6.17,1,2.33,60.22%,56,93,0.7,3.32,7.75,1.32,3.08
all,425,Moerani Bouzige,18,33.33%,24,72,0.39,1.8,4,0.6,1.33,54.46%,61,112,0.62,2.8,6.22,1.27,2.83
all,151,Moez Echargui,36,37.89%,86,227,0.58,2.73,6.31,1.04,2.39,56.72%,114,201,0.5,2.42,5.58,1.05,2.42
all,213,Moise Kouame,21,33.33%,48,144,0.59,2.77,6.86,0.92,2.29,65.27%,109,167,0.7,3.21,7.95,1.12,2.76
all,517,Mukund Sasikumar,12,31.94%,23,72,0.51,2.57,6,0.82,1.92,54.55%,42,77,0.54,2.75,6.42,1.25,2.92
all,317,Murkel Dellien,41,41.99%,139,331,0.8,3.52,8.07,1.48,3.39,56.11%,170,303,0.74,3.22,7.39,1.41,3.24
all,285,Murphy Cassone,44,43.98%,106,241,0.49,2.3,5.48,1.01,2.41,65.31%,209,320,0.65,3.05,7.27,1.06,2.52
all,961,Naoya Honda,10,38.24%,26,68,0.64,2.83,6.8,1.08,2.6,54.24%,32,59,0.56,2.46,5.9,1.12,2.7
all,425,Neil Oberleitner,11,32.08%,17,53,0.49,2.3,4.82,0.74,1.55,52.31%,34,65,0.6,2.83,5.91,1.35,2.82
all,235,Nerman Fatic,27,39.52%,83,210,0.68,3.39,7.78,1.34,3.07,60.40%,122,202,0.67,3.26,7.48,1.29,2.96
all,267,Nick Hardt,19,54.55%,72,132,0.63,2.81,6.95,1.53,3.79,61.88%,99,160,0.77,3.4,8.42,1.3,3.21
all,131,Nicolai Budkov Kjaer,53,41.23%,134,325,0.6,2.6,6.13,1.07,2.53,57.47%,177,308,0.56,2.46,5.81,1.05,2.47
all,475,Nicolas Alvarez Varona,12,44.59%,33,74,0.58,2.55,6.17,1.14,2.75,51.81%,43,83,0.66,2.86,6.92,1.38,3.33
all,718,Nicolas Arseneault,5,50.00%,12,24,0.38,1.85,4.8,0.92,2.4,53.12%,17,32,0.52,2.46,6.4,1.15,3
all,155,Nicolas Jarry,11,29.58%,21,71,0.57,2.84,6.45,0.84,1.91,62.00%,31,50,0.42,2,4.55,0.76,1.73
all,369,Nicolas Kicker,44,50.71%,142,280,0.62,2.83,6.36,1.43,3.23,60.18%,201,334,0.75,3.37,7.59,1.34,3.02
all,223,Nicolas Mejia,61,37.56%,163,434,0.64,3.06,7.11,1.15,2.67,65.14%,284,436,0.63,3.07,7.15,1.07,2.49
all,544,Nicolas Moreno De Alboran,6,28.00%,7,25,0.39,1.92,4.17,0.54,1.17,62.50%,20,32,0.48,2.46,5.33,0.92,2
all,664,Nicolas Villalon,9,44.05%,37,84,0.74,3.65,9.33,1.61,4.11,59.52%,50,84,0.76,3.65,9.33,1.48,3.78
all,802,Nicolas Zanellato,5,42.42%,14,33,0.54,2.54,6.6,1.08,2.8,40.00%,18,45,0.74,3.46,9,2.08,5.4
all,509,Niels McDonald,13,39.39%,39,99,0.7,3.41,7.62,1.34,3,60.00%,66,110,0.77,3.79,8.46,1.52,3.38
all,439,Niels Visker,19,25.58%,22,86,0.43,2.1,4.53,0.54,1.16,65.26%,62,95,0.47,2.32,5,0.8,1.74
all,214,Nikolas Sanchez Izquierdo,63,39.50%,220,557,0.8,3.76,8.84,1.49,3.49,54.17%,221,408,0.59,2.76,6.48,1.26,2.97
all,494,Nikolay Vylegzhanin,5,46.88%,15,32,0.67,2.91,6.4,1.36,3,57.89%,22,38,0.78,3.45,7.6,1.45,3.2
all,133,Nikoloz Basilashvili,32,37.17%,71,191,0.53,2.58,5.97,0.96,2.22,59.73%,135,226,0.62,3.05,7.06,1.23,2.84
all,148,Nishesh Basavareddy,32,42.40%,92,217,0.61,2.61,6.78,1.11,2.88,60.59%,123,203,0.56,2.45,6.34,0.96,2.5
all,423,Norbert Gombos,33,37.13%,75,202,0.55,2.56,6.12,0.95,2.27,55.70%,127,228,0.63,2.89,6.91,1.28,3.06
all,8,Novak Djokovic,32,41.27%,104,252,0.52,2.4,7.88,0.99,3.25,69.86%,153,219,0.44,2.09,6.84,0.63,2.06
all,36,Nuno Borges,61,35.60%,136,382,0.51,2.55,6.26,0.91,2.23,64.71%,231,357,0.48,2.38,5.85,0.84,2.07
all,357,Ognjen Milic,22,40.44%,55,136,0.57,2.57,6.18,1.04,2.5,58.33%,84,144,0.59,2.72,6.55,1.13,2.73
all,507,Olaf Pieczkowski,5,41.67%,10,24,0.53,2.4,4.8,1,2,75.00%,30,40,0.91,4,8,1,2
all,400,Oleg Prihodko,21,45.76%,54,118,0.53,2.51,5.62,1.15,2.57,62.76%,91,145,0.65,3.09,6.9,1.15,2.57
all,237,Oliver Crawford,43,43.66%,124,284,0.53,2.63,6.6,1.15,2.88,62.92%,168,267,0.49,2.47,6.21,0.92,2.3
all,348,Oliver Tarvet,18,38.39%,43,112,0.55,2.6,6.22,1,2.39,58.54%,72,123,0.6,2.86,6.83,1.19,2.83
all,386,Olle Wallin,23,39.55%,53,134,0.53,2.44,5.83,0.96,2.3,57.41%,93,162,0.67,2.95,7.04,1.25,3
all,520,Omar Jasika,19,34.48%,40,116,0.53,2.52,6.11,0.87,2.11,60.69%,105,173,0.79,3.76,9.11,1.48,3.58
all,1215,Orel Kimhi,7,43.14%,22,51,0.75,3.64,7.29,1.57,3.14,50.00%,29,58,0.84,4.14,8.29,2.07,4.14
all,319,Oriol Roca Batalla,12,33.85%,22,65,0.5,2.5,5.42,0.85,1.83,56.94%,41,72,0.55,2.77,6,1.19,2.58
all,115,Otto Virtanen,51,39.04%,130,333,0.54,2.71,6.53,1.06,2.55,64.20%,165,257,0.42,2.09,5.04,0.75,1.8
all,184,Pablo Carreno Busta,62,41.53%,206,496,0.66,3.1,8,1.29,3.32,58.00%,232,400,0.53,2.5,6.45,1.05,2.71
all,129,Pablo Llamas Ruiz,51,41.28%,161,390,0.69,3.22,7.65,1.33,3.16,61.20%,183,299,0.53,2.47,5.86,0.96,2.27
all,113,Patrick Kypson,37,45.62%,99,217,0.49,2.36,5.86,1.08,2.68,64.53%,131,203,0.46,2.21,5.49,0.78,1.95
all,781,Patrick Maloney,5,37.50%,9,24,0.5,2.18,4.8,0.82,1.8,56.76%,21,37,0.77,3.36,7.4,1.45,3.2
all,401,Patrick Zahraj,23,38.36%,56,146,0.59,2.86,6.35,1.1,2.43,57.94%,124,214,0.89,4.2,9.3,1.76,3.91
all,679,Paul Inchauspe,9,38.89%,21,54,0.52,2.45,6,0.95,2.33,72.88%,43,59,0.57,2.68,6.56,0.73,1.78
all,325,Paul Jubb,16,38.16%,58,152,0.8,3.8,9.5,1.45,3.62,52.42%,65,124,0.65,3.1,7.75,1.48,3.69
all,503,Paulo Andre Saraiva Dos Santos,16,38.52%,47,122,0.62,2.98,7.62,1.15,2.94,55.74%,68,122,0.63,2.98,7.62,1.32,3.38
all,243,Pavel Kotov,35,35.09%,80,228,0.59,2.75,6.51,0.96,2.29,61.27%,106,173,0.45,2.08,4.94,0.81,1.91
all,528,Pavle Marinkov,8,48.57%,17,35,0.38,1.75,4.38,0.85,2.12,47.46%,28,59,0.67,2.95,7.38,1.55,3.88
all,1025,Pavlos Tsitsipas,6,36.59%,15,41,0.57,2.73,6.83,1,2.5,50.00%,26,52,0.71,3.47,8.67,1.73,4.33
all,594,Pedro Araujo,5,39.39%,13,33,0.67,3,6.6,1.18,2.6,41.67%,20,48,0.92,4.36,9.6,2.55,5.6
all,256,Pedro Boscardin Dias,47,46.05%,140,304,0.6,2.81,6.47,1.3,2.98,55.44%,209,377,0.75,3.49,8.02,1.56,3.57
all,148,Pedro Martinez,44,39.16%,130,332,0.69,3.22,7.55,1.26,2.95,55.45%,168,303,0.64,2.94,6.89,1.31,3.07
all,496,Pedro Sakamoto,19,42.62%,52,122,0.57,2.77,6.42,1.18,2.74,62.30%,119,191,0.89,4.34,10.05,1.64,3.79
all,530,Pedro Vives Marcos,5,41.67%,10,24,0.63,2.67,4.8,1.11,2,61.76%,21,34,0.85,3.78,6.8,1.44,2.6
all,787,Peter Bertran,7,41.30%,19,46,0.61,2.71,6.57,1.12,2.71,62.75%,32,51,0.69,3,7.29,1.12,2.71
all,567,Peter Fajta,6,37.21%,16,43,0.7,3.31,7.17,1.23,2.67,51.43%,18,35,0.55,2.69,5.83,1.31,2.83
all,558,Peter Makk,5,36.00%,9,25,0.43,2.08,5,0.75,1.8,47.06%,16,34,0.59,2.83,6.8,1.5,3.6
all,285,Petr Bar Biryukov,36,37.36%,65,174,0.41,1.98,4.83,0.74,1.81,63.49%,160,252,0.59,2.86,7,1.05,2.56
all,340,Petr Brunclik,38,39.07%,118,302,0.76,3.47,7.95,1.36,3.11,62.72%,143,228,0.58,2.62,6,0.98,2.24
all,396,Petr Nesterov,13,41.94%,39,93,0.66,3.1,7.15,1.3,3,58.82%,50,85,0.6,2.83,6.54,1.17,2.69
all,295,Philip Henning,24,39.30%,79,201,0.81,3.59,8.38,1.41,3.29,63.74%,116,182,0.74,3.25,7.58,1.18,2.75
all,301,Philip Sekulic,38,45.28%,96,212,0.5,2.41,5.58,1.09,2.53,59.52%,172,289,0.68,3.28,7.61,1.33,3.08
all,839,Pierluigi Basile,12,45.00%,27,60,0.48,2.14,5,0.96,2.25,60.00%,57,95,0.76,3.39,7.92,1.36,3.17
all,232,Pierre-Hugues Herbert,22,37.50%,54,144,0.54,2.67,6.55,1,2.45,63.87%,99,155,0.57,2.87,7.05,1.04,2.55
all,446,Pietro Fellin,15,37.89%,36,95,0.68,3.06,6.33,1.16,2.4,55.66%,59,106,0.76,3.42,7.07,1.52,3.13
all,222,Pol Martin Tiffon,45,36.12%,121,335,0.66,3.13,7.44,1.13,2.69,61.64%,196,318,0.64,2.97,7.07,1.14,2.71
all,83,Quentin Halys,46,34.57%,84,243,0.45,2.19,5.28,0.76,1.83,65.41%,174,266,0.48,2.4,5.78,0.83,2
all,466,Quinn Vandecasteele,13,29.07%,25,86,0.64,3.19,6.62,0.93,1.92,64.52%,60,93,0.67,3.44,7.15,1.22,2.54
all,519,Radu Albot,23,37.56%,74,197,0.81,3.79,8.57,1.42,3.22,57.14%,116,203,0.83,3.9,8.83,1.67,3.78
all,15,Rafael Jodar,82,45.02%,294,653,0.74,3.27,7.96,1.47,3.59,62.70%,274,437,0.48,2.19,5.33,0.81,1.99
all,38,Raphael Collignon,69,41.00%,180,439,0.54,2.66,6.36,1.09,2.61,63.10%,224,355,0.43,2.15,5.14,0.79,1.9
all,410,Raphael Perot,12,37.50%,30,80,0.59,2.76,6.67,1.03,2.5,55.13%,43,78,0.58,2.69,6.5,1.21,2.92
all,231,Raul Brancaccio,40,38.70%,113,292,0.66,3.07,7.3,1.19,2.83,59.34%,162,273,0.62,2.87,6.83,1.17,2.77
all,538,Reda Bennani,5,34.78%,8,23,0.35,1.77,4.6,0.62,1.6,67.50%,27,40,0.65,3.08,8,1,2.6
all,150,Rei Sakamoto,35,39.39%,78,198,0.5,2.41,5.66,0.95,2.23,61.33%,111,181,0.47,2.21,5.17,0.85,2
all,76,Reilly Opelka,21,23.64%,13,55,0.21,1.1,2.62,0.26,0.62,71.28%,67,94,0.35,1.88,4.48,0.54,1.29
all,182,Remy Bertola,48,37.59%,106,282,0.56,2.59,5.88,0.97,2.21,60.30%,199,330,0.63,3.03,6.88,1.2,2.73
all,330,Renta Tokuda,19,40.19%,43,107,0.5,2.33,5.63,0.93,2.26,56.55%,82,145,0.69,3.15,7.63,1.37,3.32
